Code de langue	Langue
af	Afrikaans
sq	Albanais
ar	Arabe
hy	Arménien
bn	Bengali
bs	Bosniaque
bg	Bulgare
ca	Catalan
ceb	Cebuano
ny	Chichewa
zh-cn	Chinois (simplifié)
zh-tw	Chinois (traditionnel)
co	Corse
hr	Croate
cs	Tchèque
da	Danois
nl	Néerlandais
en	Anglais
eo	Espéranto
et	Estonien
tl	Filipino
fi	Finnois
fr	Français
fy	Frison
gl	Galicien
ka	Géorgien
de	Allemand
el	Grec
gu	Gujarati
ht	Créole haïtien
ha	Haoussa
haw	Hawaïen
iw	Hébreu
hi	Hindi
hmn	Hmong
hu	Hongrois
is	Islandais
ig	Igbo
id	Indonésien
ga	Irlandais
it	Italien
ja	Japonais
jw	Javanais
kn	Kannada
kk	Kazakh
km	Khmer
rw	Kinyarwanda
ko	Coréen
ku	Kurde
ky	Kirghize
lo	Lao
la	Latin
lv	Letton
lt	Lituanien
lb	Luxembourgeois
mk	Macédonien
mg	Malgache
ms	Malais
ml	Malayalam
mt	Maltais
mi	Maori
mr	Marathi
mn	Mongol
my	Birman
ne	Népalais
no	Norvégien
or	Oriya
ps	Pachto
fa	Persan
pl	Polonais
pt	Portugais
pa	Pendjabi
ro	Roumain
ru	Russe
sm	Samoan
gd	Gaélique écossais
sr	Serbe
st	Sesotho
sn	Shona
sd	Sindhi
si	Cinghalais
sk	Slovaque
sl	Slovène
so	Somali
es	Espagnol
su	Soundanais
sw	Swahili
sv	Suédois
tg	Tadjik
ta	Tamoul
te	Telugu
th	Thaï
tr	Turc
uk	Ukrainien
ur	Ourdou
uz	Ouzbek
vi	Vietnamien
cy	Gallois
xh	Xhosa
yi	Yiddish
yo	Yoruba
zu	Zoulou
